,year,state_fips_code,county_fips_code,pred_qty_oxy
408,2013,29,101,66085.49140842917
409,2013,29,105,61674.13013808224
410,2013,29,125,27741.057454762493
411,2013,29,161,62149.20521999276
412,2013,29,165,134535.1052747844
413,2013,29,187,69270.74426110041
414,2013,29,510,200321.38417823095
415,2013,29,3,30580.344661001982
416,2013,29,23,68296.86981817955
417,2013,29,33,31533.90368262382
418,2013,29,61,26393.80600008413
419,2013,29,87,25461.78315115236
420,2013,29,181,37400.062098204755
421,2013,29,219,51157.81795838036
422,2013,29,221,57782.79060648587
423,2013,29,43,132935.80130100044
424,2013,29,63,43336.27222194176
425,2013,29,81,30498.616329531025
426,2013,29,107,49964.817300943025
427,2013,29,1,54670.80918643129
428,2013,29,199,25981.603690295862
429,2013,29,211,47440.121727244325
430,2013,29,45,30911.88532953103
431,2013,29,97,130928.62798137876
432,2013,29,111,29190.926238179374
433,2013,29,119,45086.69822710735
434,2013,29,157,28354.796185662883
435,2013,29,167,53325.676175771674
436,2013,29,177,48347.01813617342
437,2013,30,41,44621.066502568865
438,2013,30,15,43799.53152925824
439,2013,30,53,60196.33907278337
440,2013,30,67,33613.334943310365
441,2013,30,103,24892.794644046557
442,2013,30,5,43189.34266647629
443,2013,30,97,24751.866874632047
444,2013,30,99,26013.99414967174
445,2013,30,79,24892.794644046557
446,2013,30,35,55880.91987122137
447,2013,30,25,26652.214548356886
448,2013,30,37,26844.374644046555
449,2013,30,93,58506.121402530145
450,2013,30,95,25368.846636408256
451,2013,30,43,27441.691789190445
452,2013,30,39,29821.211937245775
453,2013,30,107,30147.021335734556
454,2013,30,57,25464.635434830623
455,2013,30,91,26889.97337463205
456,2013,30,11,26816.344644046556
457,2013,30,3,55814.46486245436
458,2013,30,47,52129.50974397163
459,2013,30,49,103535.12636808323
460,2013,35,27,45327.79732000933
461,2013,29,127,48857.591715858995
462,2013,29,151,26968.521078054215
463,2013,35,5,63429.895115054474
464,2013,35,25,61332.36105786227
465,2013,35,49,314776.6296583126
466,2013,35,59,45565.399180204666
467,2013,35,51,56542.00546917822
468,2013,35,53,54413.520096190645
469,2013,35,41,47211.62765543413
470,2013,35,13,194549.9289604798
471,2013,35,28,65743.79535108365
472,2013,35,39,58930.34431285707
473,2013,35,47,61830.0713852575
474,2013,35,61,144551.8318103441
475,2013,35,57,56793.91762954467
476,2013,35,1,247894.13683405542
477,2013,35,35,62837.145115054474
478,2013,35,6,56321.0903603554
479,2013,35,19,56422.07514428287
480,2013,35,3,39168.17412790833
481,2013,36,5,456914.6876190476
482,2013,36,67,241657.92033974116
483,2013,36,19,127020.62339809338
484,2013,36,99,57741.109162054134
485,2013,36,79,203150.57563682922
486,2013,36,43,65773.07824176249
487,2013,36,69,148707.40888104335
488,2013,36,101,139461.83716478135
489,2013,36,41,30820.944295007557
490,2013,36,13,156784.69729894467
491,2013,36,47,421501.1496666667
492,2013,36,107,58910.73027696415
493,2013,36,73,64239.86334878006
494,2013,36,91,161302.54711628074
495,2013,36,21,59935.913499186376
496,2013,36,49,49884.86015505461
497,2013,36,119,419679.078
498,2013,36,25,65683.75657509583
499,2013,36,57,65803.8682417625
500,2013,36,85,328990.05472703
501,2013,36,89,151696.8364163187
502,2013,36,109,134062.14216068518
503,2013,36,113,89362.08484480628
504,2013,36,23,64339.109848780034
505,2013,36,27,323998.323414511
506,2013,36,55,247661.5880414869
507,2013,36,65,165768.65814833227
508,2013,36,111,158682.4993897573
509,2013,36,15,136774.67601729522
510,2013,36,51,61709.73994363082
511,2013,36,77,61640.47994363082
512,2013,36,39,66710.21657509584
513,2013,36,1,162440.58289375232
514,2013,36,3,64487.03299919566
515,2013,36,9,93967.74846454765
516,2013,36,53,90003.28484480627
517,2013,36,93,159669.22242100205
518,2013,36,37,61773.359943630814
519,2013,36,123,46872.67138767511
520,2013,37,79,51244.58047399177
521,2013,37,121,45022.18183013949
522,2013,37,41,56294.47203548443
523,2013,35,11,32116.39015833904
524,2013,37,5,55246.66172170898
525,2013,37,27,154123.48422609505
526,2013,37,35,174701.23878819786
527,2013,37,45,146089.34114367745
528,2013,37,49,149498.86696904124
529,2013,37,65,71877.36843856101
530,2013,37,77,61994.070776964145
531,2013,37,85,160197.74329817286
532,2013,37,93,68593.51245475539
533,2013,37,89,165205.19341895427
534,2013,37,95,52352.74990083757
535,2013,37,97,168865.6048746947
536,2013,37,119,248247.37633974114
537,2013,37,159,172151.92570527794
538,2013,37,181,68118.30752043518
539,2013,37,39,57829.01171517431
540,2013,37,53,50451.86945880365
541,2013,37,179,167197.64140282755
542,2013,37,193,73806.17142123112
543,2013,37,127,148599.6750603441
544,2013,37,3,58951.73933282136
545,2013,37,55,84329.57347271165
546,2013,37,185,57288.09342406321
547,2013,37,195,101063.05317130983
548,2013,37,73,44929.35606230846
549,2013,37,75,59022.300994080084
550,2013,37,115,51393.54335352553
551,2013,37,137,48939.513061792466
552,2013,37,149,45957.39822605371
553,2013,37,151,176361.0519857356
554,2013,37,169,62589.26147141558
555,2013,37,187,59617.85847831551
556,2013,37,43,32240.147505332294
557,2013,37,51,194373.1646516497
558,2013,37,81,246740.79531024594
559,2013,37,99,66332.09511811796
560,2013,37,139,67399.08745475538
561,2013,37,155,156629.1111034907
562,2013,37,173,58838.7586790239
563,2013,37,183,244600.73038140786
564,2013,37,7,57052.9428563447
565,2013,37,111,69460.17324675097
566,2013,37,69,72126.24024454835
567,2013,37,103,54528.66906587358
568,2013,37,113,63800.00459443375
569,2013,37,19,167853.47174222633
570,2013,37,175,63093.91019773138
571,2013,37,13,67131.56959443375
572,2013,37,47,74071.67015932636
573,2013,37,109,145475.01176906677
574,2013,37,123,62581.44967452653
575,2013,37,135,165135.58441934924
576,2013,37,153,66196.73506103577
577,2013,37,163,74683.54894364008
578,2013,37,171,77811.59557134571
579,2013,37,11,49837.4812500436
580,2013,37,21,175409.96261745036
581,2013,37,25,171669.1300140384
582,2013,37,131,55444.217742708344
583,2013,37,147,169911.10773508437
584,2013,37,33,56804.57928491614
